NAME,DATE,TM,OPP,PTS,POS,PROP
Stephen Curry,4/12/2024,GSW,NOP,33.0,PG,24.5
CJ McCollum,4/12/2024,NOP,GSW,28.0,SG,28.5
Chris Paul,4/12/2024,GSW,NOP,9.0,PG,9.5
Klay Thompson,4/12/2024,GSW,NOP,19.0,SG,19.5
Jonas Valanciunas,4/12/2024,NOP,GSW,10.0,C,11.5
Andrew Wiggins,4/12/2024,GSW,NOP,18.0,SF,15.5
Zion Williamson,4/12/2024,NOP,GSW,26.0,PF,25.5
Trey Murphy III,4/12/2024,NOP,GSW,24.0,SF,16.5
Herbert Jones,4/12/2024,NOP,GSW,13.0,SF,9.5
Trayce Jackson-Davis,4/12/2024,GSW,NOP,10.0,PF,10.5
Dillon Brooks,4/12/2024,HOU,POR,9.0,SG,9.5
Deandre Ayton,4/12/2024,POR,HOU,6.0,C,13.5
Aaron Holiday,4/12/2024,HOU,POR,18.0,PG,13.5
Dalano Banton,4/12/2024,POR,HOU,28.0,SF,13.5
Jalen Green,4/12/2024,HOU,POR,26.0,SG,22.5
Jock Landale,4/12/2024,HOU,POR,20.0,C,16.5
Jabari Walker,4/12/2024,POR,HOU,9.0,SF,15.5
Cam Whitmore,4/12/2024,HOU,POR,11.0,SF,16.5
Amen Thompson,4/12/2024,HOU,POR,17.0,SF,14.5
Scoot Henderson,4/12/2024,POR,HOU,30.0,PG,27.5
Tobias Harris,4/12/2024,PHI,ORL,14.0,PF,12.5
Joel Embiid,4/12/2024,PHI,ORL,32.0,C,35.5
Kelly Oubre Jr.,4/12/2024,PHI,ORL,21.0,SF,12.5
Wendell Carter Jr.,4/12/2024,ORL,PHI,4.0,C,10.5
Tyrese Maxey,4/12/2024,PHI,ORL,28.0,PG,21.5
Franz Wagner,4/12/2024,ORL,PHI,24.0,SF,20.5
Jalen Suggs,4/12/2024,ORL,PHI,20.0,SG,14.5
Paolo Banchero,4/12/2024,ORL,PHI,22.0,SF,20.5
Patrick Beverley,4/12/2024,MIL,OKC,6.0,PG,9.5
Brook Lopez,4/12/2024,MIL,OKC,18.0,C,20.5
Khris Middleton,4/12/2024,MIL,OKC,18.0,SF,19.5
Bobby Portis,4/12/2024,MIL,OKC,4.0,PF,19.5
Malik Beasley,4/12/2024,MIL,OKC,17.0,SG,18.5
Shai Gilgeous-Alexander,4/12/2024,OKC,MIL,23.0,SG,29.5
Luguentz Dort,4/12/2024,OKC,MIL,11.0,SG,11.5
Jalen Williams,4/12/2024,OKC,MIL,17.0,SG,18.5
Chet Holmgren,4/12/2024,OKC,MIL,22.0,PF,15.5
Paul George,4/12/2024,LAC,UTA,10.0,SF,24.5
James Harden,4/12/2024,LAC,UTA,4.0,SG,13.5
Russell Westbrook,4/12/2024,LAC,UTA,4.0,PG,14.5
Norman Powell,4/12/2024,LAC,UTA,4.0,SG,15.5
Ivica Zubac,4/12/2024,LAC,UTA,10.0,C,16.5
Talen Horton-Tucker,4/12/2024,UTA,LAC,12.0,SG,14.5
Luka Samanic,4/12/2024,UTA,LAC,11.0,PF,13.5
Keyonte George,4/12/2024,UTA,LAC,14.0,SG,15.5
Mike Conley,4/12/2024,MIN,ATL,13.0,PG,11.5
Rudy Gobert,4/12/2024,MIN,ATL,25.0,C,18.5
Karl-Anthony Towns,4/12/2024,MIN,ATL,11.0,C,15.5
Dejounte Murray,4/12/2024,ATL,MIN,12.0,PG,17.5
Trae Young,4/12/2024,ATL,MIN,19.0,PG,16.5
De'Andre Hunter,4/12/2024,ATL,MIN,15.0,SF,17.5
Naz Reid,4/12/2024,MIN,ATL,19.0,C,13.5
Jimmy Butler,4/12/2024,MIA,TOR,14.0,SF,21.5
Bam Adebayo,4/12/2024,MIA,TOR,19.0,C,19.5
Gary Trent Jr.,4/12/2024,TOR,MIA,7.0,SG,14.5
RJ Barrett,4/12/2024,TOR,MIA,35.0,SG,18.5
Tyler Herro,4/12/2024,MIA,TOR,17.0,SG,23.5
Immanuel Quickley,4/12/2024,TOR,MIA,15.0,PG,16.5
Nikola Jovic,4/12/2024,MIA,TOR,22.0,PF,14.5
Jaime Jaquez Jr.,4/12/2024,MIA,TOR,20.0,SF,11.5
OG Anunoby,4/12/2024,NYK,BKN,15.0,SF,17.5
Donte DiVincenzo,4/12/2024,NYK,BKN,14.0,SG,18.5
Jalen Brunson,4/12/2024,NYK,BKN,30.0,PG,32.5
Cam Thomas,4/12/2024,BKN,NYK,41.0,SG,27.5
Trendon Watford,4/12/2024,BKN,NYK,17.0,PF,20.5
Anthony Davis,4/12/2024,LAL,MEM,36.0,PF,22.5
LeBron James,4/12/2024,LAL,MEM,37.0,SF,23.5
Rui Hachimura,4/12/2024,LAL,MEM,14.0,PF,14.5
Austin Reaves,4/12/2024,LAL,MEM,13.0,SG,13.5
Jake LaRavia,4/12/2024,MEM,LAL,28.0,PF,17.5
GG Jackson II,4/12/2024,MEM,LAL,31.0,PF,19.5
Nikola Jokic,4/12/2024,DEN,SAS,22.0,C,27.5
Jamal Murray,4/12/2024,DEN,SAS,35.0,PG,30.5
Zach Collins,4/12/2024,SAS,DEN,15.0,PF,11.5
Michael Porter Jr.,4/12/2024,DEN,SAS,14.0,SF,15.5
Tre Jones,4/12/2024,SAS,DEN,14.0,PG,9.5
Victor Wembanyama,4/12/2024,SAS,DEN,34.0,PF,23.5
Luke Kornet,4/12/2024,BOS,CHA,16.0,C,16.5
Payton Pritchard,4/12/2024,BOS,CHA,31.0,SG,25.5
Tre Mann,4/12/2024,CHA,BOS,19.0,PG,10.5
Sam Hauser,4/12/2024,BOS,CHA,16.0,PF,13.5
Brandon Miller,4/12/2024,CHA,BOS,9.0,SF,16.5
Myles Turner,4/12/2024,IND,CLE,17.0,C,15.5
Caris LeVert,4/12/2024,CLE,IND,16.0,SG,17.5
Pascal Siakam,4/12/2024,IND,CLE,19.0,PF,16.5
Donovan Mitchell,4/12/2024,CLE,IND,33.0,SG,27.5
Jarrett Allen,4/12/2024,CLE,IND,29.0,C,17.5
Darius Garland,4/12/2024,CLE,IND,16.0,PG,18.5
Tyrese Haliburton,4/12/2024,IND,CLE,19.0,PG,18.5
Evan Mobley,4/12/2024,CLE,IND,12.0,C,15.5
Bradley Beal,4/12/2024,PHX,SAC,20.0,SG,11.5
Kevin Durant,4/12/2024,PHX,SAC,28.0,SF,30.5
Jusuf Nurkic,4/12/2024,PHX,SAC,10.0,C,9.5
Devin Booker,4/12/2024,PHX,SAC,21.0,SG,27.5
Domantas Sabonis,4/12/2024,SAC,PHX,25.0,C,30.5
De'Aaron Fox,4/12/2024,SAC,PHX,23.0,PG,26.5
Grayson Allen,4/12/2024,PHX,SAC,19.0,SG,12.5
Keegan Murray,4/12/2024,SAC,PHX,23.0,SF,21.5
Javonte Green,4/12/2024,CHI,WAS,24.0,SG,19.5
Deni Avdija,4/12/2024,WAS,CHI,24.0,SF,22.5
